symbol,tf,bars,local_valleys,top_date,top_prominence,macd_std
RBLX,30m,250,0,,,
RBLX,1H,250,0,,,
RBLX,2H,250,0,,,
RBLX,4H,250,0,,,
RBLX,1D,250,7,2025-11-25 05:00,11.255681,2.9398
AAOI,30m,250,0,,,
AAOI,1H,250,0,,,
AAOI,2H,250,0,,,
AAOI,4H,250,0,,,
AAOI,1D,250,7,2026-07-20 04:00,19.552655,4.9372
INTU,30m,250,0,,,
INTU,1H,250,0,,,
INTU,2H,250,0,,,
INTU,4H,250,0,,,
INTU,1D,250,6,2026-02-17 05:00,69.391967,14.3111
NVDA,30m,250,0,,,
NVDA,1H,250,0,,,
NVDA,2H,250,0,,,
NVDA,4H,250,0,,,
NVDA,1D,250,10,2025-04-08 04:00,15.594708,3.3203
PLTR,30m,250,0,,,
PLTR,1H,250,0,,,
PLTR,2H,250,0,,,
PLTR,4H,250,0,,,
PLTR,1D,250,8,2026-02-13 05:00,23.735427,3.6296
ADTN,30m,250,0,,,
ADTN,1H,250,0,,,
ADTN,2H,250,0,,,
ADTN,4H,250,0,,,
ADTN,1D,250,5,2025-04-08 04:00,1.183265,0.4163
